"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 22:27:39 UTC 2026","Thu Jun 04 22:27:39 UTC 2026","145","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc07_msftActionIsHold","TC-07: MSFT action is HOLD with 0 shares",""
"passed","Thu Jun 04 22:27:41 UTC 2026","Thu Jun 04 22:27:41 UTC 2026","148","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc19b_negativeTotalAssetsShowsError","TC-19b: Negative total assets shows error",""
"passed","Thu Jun 04 22:27:48 UTC 2026","Thu Jun 04 22:27:48 UTC 2026","174","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 22:27:49 UTC 2026","Thu Jun 04 22:27:49 UTC 2026","137","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc26_correctSharesPerSecurity","TC-26: Correct shares for each security in standard scenario",""
"passed","Thu Jun 04 22:27:45 UTC 2026","Thu Jun 04 22:27:47 UTC 2026","1686","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc24_allSecuritiesNeedSell","TC-24: All securities over target → all SELL",""
"passed","Thu Jun 04 22:27:37 UTC 2026","Thu Jun 04 22:27:37 UTC 2026","18","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc02_pageTitle","TC-02: Page title is correct",""
"passed","Thu Jun 04 22:27:38 UTC 2026","Thu Jun 04 22:27:38 UTC 2026","128","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc05_ibmActionIsBuy","TC-05: IBM action is BUY (negative variance)",""
"passed","Thu Jun 04 22:27:47 UTC 2026","Thu Jun 04 22:27:48 UTC 2026","182","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 22:27:40 UTC 2026","Thu Jun 04 22:27:40 UTC 2026","133","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc13_ibmDollarAmount","TC-13: IBM dollar amount to trade = $10,000",""
"passed","Thu Jun 04 22:27:39 UTC 2026","Thu Jun 04 22:27:39 UTC 2026","121","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc10_aaplHold","TC-10: AAPL action is HOLD with 0 shares",""
