"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 23:04:36 UTC 2026","Thu Jun 04 23:04:36 UTC 2026","222","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc03_resultsSectionVisibleAfterCalculate","TC-03: Results section appears after Calculate",""
"passed","Thu Jun 04 23:04:39 UTC 2026","Thu Jun 04 23:04:39 UTC 2026","144","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc19b_negativeTotalAssetsShowsError","TC-19b: Negative total assets shows error",""
"passed","Thu Jun 04 23:04:37 UTC 2026","Thu Jun 04 23:04:37 UTC 2026","77","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc14_orclDollarAmount","TC-14: ORCL dollar amount to trade = $10,000",""
"passed","Thu Jun 04 23:04:39 UTC 2026","Thu Jun 04 23:04:41 UTC 2026","1808","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc22_allZeroVarianceAllHold","TC-22: All zero variance → all HOLD 0 shares",""
"passed","Thu Jun 04 23:04:41 UTC 2026","Thu Jun 04 23:04:43 UTC 2026","1450","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc23_allSecuritiesNeedBuy","TC-23: All securities under target → all BUY",""
"passed","Thu Jun 04 23:04:45 UTC 2026","Thu Jun 04 23:04:45 UTC 2026","135","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 23:04:38 UTC 2026","Thu Jun 04 23:04:39 UTC 2026","128","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc19_zeroTotalAssetsShowsError","TC-19: Total assets = 0 shows error",""
"passed","Thu Jun 04 23:04:48 UTC 2026","Thu Jun 04 23:04:48 UTC 2026","0","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc31_shareCountUseFloor","TC-31: Share count uses floor, not round",""
"passed","Thu Jun 04 23:04:39 UTC 2026","Thu Jun 04 23:04:39 UTC 2026","139","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc20_largePortfolioScalesCorrectly","TC-20: Large portfolio $10M – IBM BUY 6666 shares",""
"passed","Thu Jun 04 23:04:36 UTC 2026","Thu Jun 04 23:04:36 UTC 2026","146","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc04_resetHidesResults","TC-04: Reset clears results table",""
"passed","Thu Jun 04 23:04:45 UTC 2026","Thu Jun 04 23:04:45 UTC 2026","140","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 23:04:37 UTC 2026","Thu Jun 04 23:04:37 UTC 2026","79","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc09_orclSharesToSell","TC-09: ORCL shares to sell = 45",""
"passed","Thu Jun 04 23:04:45 UTC 2026","Thu Jun 04 23:04:45 UTC 2026","103","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc26_correctSharesPerSecurity","TC-26: Correct shares for each security in standard scenario",""
"passed","Thu Jun 04 23:04:36 UTC 2026","Thu Jun 04 23:04:36 UTC 2026","105","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc05_ibmActionIsBuy","TC-05: IBM action is BUY (negative variance)",""
"passed","Thu Jun 04 23:04:45 UTC 2026","Thu Jun 04 23:04:46 UTC 2026","106","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc26_correctSharesPerSecurity","TC-26: Correct shares for each security in standard scenario",""
"passed","Thu Jun 04 23:04:37 UTC 2026","Thu Jun 04 23:04:37 UTC 2026","111","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc11_hdHold","TC-11: HD action is HOLD with 0 shares",""
"passed","Thu Jun 04 23:04:48 UTC 2026","Thu Jun 04 23:04:48 UTC 2026","1","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc29_calculatorActionSell","TC-29: Calculator identifies SELL for positive variance",""
"passed","Thu Jun 04 23:04:35 UTC 2026","Thu Jun 04 23:04:35 UTC 2026","44","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc01_resultsSectionHiddenOnLoad","TC-01: Results section is hidden before calculation",""
"passed","Thu Jun 04 23:04:44 UTC 2026","Thu Jun 04 23:04:44 UTC 2026","130","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc25_ibmSharesForDifferentPortfolioSizes","TC-25: IBM share count is correct across different portfolio sizes",""
"passed","Thu Jun 04 23:04:43 UTC 2026","Thu Jun 04 23:04:44 UTC 2026","1280","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc24_allSecuritiesNeedSell","TC-24: All securities over target → all SELL",""
"passed","Thu Jun 04 23:04:47 UTC 2026","Thu Jun 04 23:04:47 UTC 2026","1","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc28_calculatorActionBuy","TC-28: Calculator identifies BUY for negative variance",""
"passed","Thu Jun 04 23:04:35 UTC 2026","Thu Jun 04 23:04:35 UTC 2026","13","Portfolio Rebalancing Test Suite","All Tests","com.crd.rebalancing.tests.RebalancingTest","com.crd.rebalancing.tests.RebalancingTest","tc02_pageTitle","TC-02: Page title is correct",""
